timestamp,tweet_text,username,all_hashtags
2019-03-14 16:00:12,"@facebook @instagram BOTH said, ""WE DON'T KNOW WHAT'S GOING ON WITH OUR PLATFORMS, but we can ASSURE you it wasn't a hack. LIE! question is, how much of our info was leaked, stolen, etc... #ddos #facebookdown #instagramdown #facebookhacked #instagramhacked",real_MRJACK,"['ddos', 'facebookdown', 'instagramdown', 'facebookhacked', 'instagramhacked']"
2019-03-14 15:59:41,"#facebookdown @facebook #instagramdown @instagram. The election has declared india, so I think every social media like instagram and facebook has occurring some problem.",UnaidAbdul,"['facebookdown', 'instagramdown']"
2019-03-14 15:57:30,"The irony made me chuckle 😄 ...   ► During Its Outage, #Facebook Turns to #Twitter to Share Updates  (by @tedkitkat via @PRDaily) #socialmedia #instagramdown #facebookdown https://t.co/Ta2V1PZGd6",tressalynne,"['Facebook', 'Twitter', 'socialmedia', 'instagramdown', 'facebookdown']"
2019-03-14 15:56:17,Need to catch up today...  #facebookdown #instagramdown #greatoutage2019 #Isurvived https://t.co/A59YpaRqkr,philipkeppel,"['facebookdown', 'instagramdown', 'greatoutage2019', 'Isurvived']"
2019-03-14 15:55:54,"Telegram Messenger Gained 3 Million New Users Within Last 24 Hours!  Thanks to the Facebook, Instagram, and WhatsApp Global Outages.  https://t.co/Z2UOXO6Yme  #facebookisdown #FacebookDown #facebookisdown #whatsappdown #instagramdown... https://t.co/Z2UOXO6Yme",emrhpeiris,"['facebookisdown', 'FacebookDown', 'facebookisdown', 'whatsappdown', 'instagramdown']"
2019-03-14 15:51:16,"@s8n Don't worry , this shit is temporary on Twitter . Now  Facebook n Instagram working fine, so everything will fine here again😤  #facebookdown #instagramdown",again_forgot,"['facebookdown', 'instagramdown']"
2019-03-14 15:50:42,So that explains everything. Mojo Jojo took down Facebook's sites! #FacebookDown #instagramdown https://t.co/rpyXfMpds6,CNConfessions,"['FacebookDown', 'instagramdown']"
2019-03-14 15:49:34,Top trends today at Indonesia: #WhatsAppDown #JaenudinDown #FacebookDown #instagramdown #GOPERSI86O  https://t.co/15j5h6Tums,to_feex,"['WhatsAppDown', 'JaenudinDown', 'FacebookDown', 'instagramdown', 'GOPERSI86O']"
2019-03-14 15:47:48,#BREAKING  #Facebook says it is 100% back up after a server configuration issue made it difficult for people to access its Apps and services. . #FacebookDown #facebookisdown #Facebook #instagramdown #Forsan_News https://t.co/XMUxnlqN9x,Fnews_english,"['BREAKING', 'Facebook', 'FacebookDown', 'facebookisdown', 'Facebook', 'instagramdown', 'Forsan_News']"
2019-03-14 15:47:38,"Facebook, Instagram and Whatsapp are ALL having problems - this is the reason behind it #FacebookDown #facebookoutage #Facebook #facebookisdown #facebookล่ม #instagramdown #Instagram #instagramnotworking #instagramblackout #whatsappdown #WhatsApp https://t.co/BiXhhF9E5q",northwaleslive,"['FacebookDown', 'facebookoutage', 'Facebook', 'facebookisdown', 'facebookล่ม', 'instagramdown', 'Instagram', 'instagramnotworking', 'instagramblackout', 'whatsappdown', 'WhatsApp']"
